fit_time,score_time,estimator,test_acc,train_acc,test_brier,train_brier,test_auc,train_auc,test_balanced_acc,train_balanced_acc,test_f1,train_f1,test_precision,train_precision,test_recall,train_recall,test_tp,train_tp,test_tn,train_tn,test_fp,train_fp,test_fn,train_fn
0.034000396728515625,0.00998377799987793,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.825,0.679465776293823,-0.1338890423388309,-0.19236039758559131,0.8714121699196326,0.8023700592514813,0.616532721010333,0.5630203255081377,0.8985507246376812,0.7917570498915402,0.8732394366197183,0.6965648854961832,0.9253731343283582,0.9170854271356784,62,365,4,42,9,159,5,33
0.03198099136352539,0.008989572525024414,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7777777777777778,0.6869851729818781,-0.16460015074127737,-0.18767910161499746,0.8515392254220456,0.807001493651979,0.663356504468719,0.5600883744087628,0.8571428571428572,0.7987288135593221,0.8135593220338984,0.7086466165413534,0.9056603773584906,0.9150485436893204,48,377,8,40,11,155,5,35
0.03994035720825195,0.008057594299316406,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7301587301587301,0.6931818181818182,-0.1833360738889888,-0.18593382384626478,0.7898936170212766,0.8129077859939104,0.5511968085106382,0.5679160021265285,0.8349514563106796,0.8025078369905957,0.7678571428571429,0.712430426716141,0.9148936170212766,0.9186602870813397,43,384,3,43,13,155,4,34
0.031931400299072266,0.0070493221282958984,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.6233766233766234,0.7059800664451827,-0.22544866468047792,-0.18152449242805568,0.7144444444444445,0.8236969267444108,0.5140740740740741,0.570807293344501,0.7521367521367521,0.8130939809926082,0.6567164179104478,0.7236842105263158,0.88,0.927710843373494,44,385,4,40,23,147,6,30
0.03501486778259277,0.007973909378051758,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7058823529411765,0.6841243862520459,-0.19070690316032768,-0.1996765746675372,0.8296875,0.8086479270192094,0.5,0.5122252713293283,0.8275862068965517,0.809476801579467,0.7058823529411765,0.6879194630872483,1.0,0.9832134292565947,48,410,0,8,20,186,0,7
0.031052589416503906,0.008998632431030273,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.6617647058823529,0.690671031096563,-0.2024399644453519,-0.19889042171948604,0.9005681818181819,0.8001000125015627,0.5208333333333334,0.5112951618952368,0.7927927927927928,0.8145240431795879,0.6567164179104478,0.6939799331103679,1.0,0.9857482185273159,44,415,1,7,23,183,0,6
0.031011581420898438,0.007996797561645508,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.734375,0.6926829268292682,-0.16417916805100682,-0.18864247805749632,0.8054421768707483,0.8104947816003092,0.5027210884353742,0.5683767394665635,0.8440366972477065,0.8020942408376962,0.7666666666666667,0.7105751391465677,0.9387755102040817,0.9206730769230769,46,383,1,43,14,156,3,33
0.03299832344055176,0.008007526397705078,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.6363636363636364,0.6933115823817292,-0.21413438923311223,-0.19739862851004045,0.8292682926829269,0.8073337825696315,0.52,0.5114430468204053,0.7735849056603773,0.8164062499999999,0.6307692307692307,0.6966666666666667,1.0,0.9858490566037735,41,418,1,7,24,182,0,6
0.032018423080444336,0.00898432731628418,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.5757575757575758,0.7014681892332789,-0.24579274955804611,-0.19419257539630275,0.8518173345759553,0.8086827481687295,0.5172413793103449,0.5130777974235918,0.7254901960784313,0.8221574344023324,0.5692307692307692,0.7038269550748752,1.0,0.9883177570093458,37,423,1,7,28,178,0,5
0.03099989891052246,0.00799870491027832,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.45454545454545453,0.719551282051282,-0.2941684006296584,-0.176993932667122,0.6558355437665782,0.8223087058364239,0.4350132625994695,0.5814708178801484,0.6052631578947368,0.8223350253807108,0.48936170212765956,0.7377049180327869,0.7931034482758621,0.9288990825688074,23,405,2,44,24,144,6,31
